ResponseID,DistrictCode,A1_Practice,A1_Importance,A2_Practice,A2_Importance,A3_Practice,A3_Importance,A4_Practice,A4_Importance,A5_Practice,A5_Importance,A6_Practice,A6_Importance,A7_Practice,A7_Importance,A8_Practice,A8_Importance,A9_Practice,A9_Importance,A10_Practice,A10_Importance,B1_Practice,B1_Importance,B2_Practice,B2_Importance,B3_Practice,B3_Importance,B4_Practice,B4_Importance,B5_Practice,B5_Importance,B6_Practice,B6_Importance,B7_Practice,B7_Importance,C1_Practice,C1_Importance,C2_Practice,C2_Importance,C3_Practice,C3_Importance,C4_Practice,C4_Importance,C5_Practice,C5_Importance,C6_Practice,C6_Importance,C7_Practice,C7_Importance,D1_Practice,D1_Importance,D2_Practice,D2_Importance,D3_Practice,D3_Importance,D4_Practice,D4_Importance,D5_Practice,D5_Importance,D6_Practice,D6_Importance,D7_Practice,D7_Importance
R_00028,D012,6,5,3,3,4,4,5,4,4,3,6,4,4,5,5,5,5,5,3,4,5,4,6,4,4,4,5,4,4,6,5,4,3,5,4,6,5,6,5,4,4,5,4,4,4,4,4,5,6,5,3,5,5,4,5,5,5,3,4,5,3,5
R_00029,D001,5,4,5,5,4,3,5,4,4,5,3,4,4,5,5,5,3,5,3,5,6,4,4,5,5,5,5,3,4,3,5,3,6,4,4,5,5,4,3,3,3,4,3,3,5,5,4,5,3,5,5,5,4,3,5,3,3,4,3,3,3,5
R_00030,D015,4,2,4,4,2,3,3,4,4,5,4,3,3,5,3,4,3,3,3,5,4,4,4,4,4,4,3,3,5,5,3,4,4,3,4,2,4,4,4,3,3,4,3,3,4,3,4,5,4,4,4,2,4,5,4,3,5,5,4,2,3,2
R_00031,D015,3,6,3,4,5,5,6,5,4,6,4,6,6,4,5,5,5,5,4,3,5,5,5,4,3,3,4,5,5,5,5,4,4,4,6,5,3,5,4,5,6,3,4,3,3,5,5,3,5,4,4,4,6,3,4,4,5,5,4,5,5,4
R_00032,D005,4,3,3,2,5,5,5,4,3,4,5,5,4,5,3,3,3,3,4,4,5,3,4,5,5,4,5,4,3,3,3,4,5,5,2,4,3,3,4,4,5,3,4,4,4,4,5,3,5,2,5,5,2,5,4,3,4,3,5,4,4,3
R_00033,D007,3,4,4,3,5,4,5,5,3,4,4,3,3,3,5,4,4,3,3,3,5,4,4,4,3,5,5,4,4,3,5,3,5,4,5,4,4,3,2,5,5,4,5,4,5,3,4,2,4,3,4,4,4,4,4,2,4,2,4,3,5,2
R_00034,D012,5,5,3,3,3,3,4,5,3,4,4,4,4,6,3,5,5,5,5,5,3,4,4,3,3,3,4,4,5,4,5,3,4,3,3,5,5,4,3,3,5,5,4,3,5,4,6,4,5,5,4,3,3,3,5,4,5,4,5,3,6,5
R_00035,D007,3,4,5,4,5,6,4,5,3,4,6,4,4,6,4,5,5,3,5,5,5,3,3,5,5,5,4,3,3,4,4,4,3,4,4,5,4,3,4,3,5,4,4,4,4,3,6,6,6,5,3,4,3,4,4,3,4,4,4,3,4,4
R_00036,D009,3,3,4,5,4,4,5,4,4,5,5,6,3,4,5,3,4,5,5,3,5,4,4,3,4,5,4,3,4,4,4,5,4,5,4,5,4,3,5,5,5,4,4,4,3,5,5,5,3,6,4,4,4,5,5,4,5,4,5,4,5,3
R_00037,D012,4,5,3,6,5,4,5,6,4,3,3,4,4,4,4,4,4,5,4,4,4,3,3,4,6,3,5,3,4,4,3,4,4,4,5,4,4,5,3,5,5,5,3,6,3,3,3,4,6,3,4,3,5,4,3,4,3,4,4,5,3,5
R_00038,D012,2,5,3,3,3,3,5,4,4,4,4,4,3,5,4,5,4,3,4,2,2,2,3,3,4,4,3,2,3,3,4,4,4,5,4,4,2,3,3,2,3,2,2,5,5,4,4,4,3,5,4,2,2,4,3,3,4,3,3,4,4,4
R_00039,D002,4,5,3,5,2,4,4,5,2,5,4,3,5,3,3,5,3,5,4,3,5,4,3,4,4,3,3,3,3,2,3,3,4,3,4,3,3,5,5,4,2,5,4,5,5,5,2,5,3,4,5,4,4,4,4,3,3,3,4,5,2,4
R_00040,D005,4,6,4,3,5,5,5,4,5,4,3,5,4,4,4,4,5,4,5,5,4,4,5,3,3,5,4,3,6,4,3,6,4,5,3,5,3,6,4,5,4,4,6,3,4,4,5,4,5,5,3,4,3,4,5,3,5,5,6,4,3,3
R_00041,D006,3,4,5,3,5,5,3,6,3,4,3,5,4,5,5,3,4,5,5,3,3,5,4,4,6,4,3,4,3,4,5,5,5,5,5,5,4,4,4,5,4,3,5,6,4,3,4,5,4,6,6,6,3,5,4,4,5,5,6,5,3,3
R_00042,D005,2,4,4,4,4,3,4,2,4,4,3,3,4,3,4,4,3,4,5,4,2,4,4,5,2,2,3,3,4,3,4,4,2,4,4,3,5,4,4,4,3,2,4,3,5,4,2,4,3,2,4,4,2,3,3,4,4,3,3,2,4,4
R_00043,D005,3,5,3,4,4,3,5,5,4,5,5,4,3,4,5,3,3,4,4,5,3,5,5,5,3,4,3,5,3,4,3,3,4,3,4,4,4,4,5,3,5,5,3,3,4,3,4,5,5,5,3,4,5,5,3,4,3,4,3,5,5,3
R_00044,D015,4,5,4,6,3,3,3,5,3,5,4,6,4,4,4,5,5,5,4,4,3,4,5,5,3,3,4,4,5,6,4,4,4,3,3,5,5,5,3,5,4,3,4,4,4,5,4,6,3,4,4,5,4,4,5,3,3,5,6,3,5,4
R_00045,D009,4,3,5,3,3,5,4,3,5,5,4,3,4,3,4,5,4,3,5,3,3,3,3,5,3,5,3,4,4,4,3,3,3,3,5,4,5,5,5,6,5,4,4,4,5,4,4,3,4,3,5,5,3,6,4,5,6,6,3,5,3,5
R_00046,D015,5,3,5,4,3,5,5,3,4,4,4,5,2,4,5,4,4,3,5,5,4,3,4,2,3,3,4,2,5,3,2,4,5,5,3,2,4,5,4,5,5,5,3,5,3,2,3,2,3,5,4,5,4,3,5,4,5,4,3,4,3,3
R_00047,D010,4,5,5,3,5,5,2,4,5,5,3,4,5,3,4,3,5,3,5,2,4,4,5,3,3,3,2,3,2,2,3,4,5,5,4,3,4,2,4,5,4,4,3,2,5,3,3,5,2,3,3,4,4,5,2,4,4,4,2,5,3,5
R_00048,D003,3,3,4,4,4,3,3,3,2,4,5,3,3,3,3,4,4,3,2,3,3,2,5,3,3,4,4,2,4,3,5,3,3,3,3,3,3,2,4,4,2,3,4,5,4,4,5,5,3,4,5,4,5,4,2,5,4,4,5,5,4,4
R_00049,D002,3,6,6,5,3,4,6,4,6,5,5,4,5,5,3,4,4,4,4,4,5,5,5,4,4,4,3,5,5,6,6,4,3,4,4,4,4,4,4,5,3,4,3,5,5,3,5,4,3,5,6,5,3,5,4,4,4,5,3,5,3,6
R_00050,D006,4,4,5,3,3,5,5,5,5,5,4,3,4,4,3,5,5,3,3,5,5,4,4,6,5,4,5,4,5,3,3,4,5,3,5,5,4,3,6,5,5,4,4,3,5,6,5,5,5,4,4,3,5,5,3,6,5,5,3,4,5,4
R_00051,D015,4,4,4,3,4,5,5,4,3,4,5,5,4,5,4,4,3,3,6,5,5,3,5,5,4,3,5,5,5,5,4,5,5,5,5,6,3,4,4,3,5,4,3,5,3,4,5,5,5,4,5,5,5,3,3,3,3,5,5,3,5,4
R_00052,D001,5,3,5,3,3,3,5,4,5,4,5,3,5,4,5,4,3,3,5,3,3,4,4,5,4,3,5,5,4,4,3,4,2,3,5,3,5,4,5,3,4,4,4,5,4,2,3,3,2,3,5,3,4,4,3,4,3,3,4,4,3,5
R_00053,D005,4,4,3,5,5,3,5,3,3,5,5,4,3,4,3,4,4,3,3,4,2,5,3,4,2,5,4,4,2,4,4,3,4,4,3,4,4,3,4,4,3,4,3,5,3,4,3,3,3,3,3,3,4,3,4,3,2,4,3,5,3,2
R_00054,D009,5,5,3,3,4,5,3,4,4,6,4,4,3,3,3,4,5,4,5,3,5,3,5,5,3,4,4,5,6,3,5,3,4,6,4,4,5,5,5,5,3,5,3,6,3,4,5,5,5,3,4,4,3,5,5,6,3,6,3,4,3,4
R_00055,D005,5,5,4,4,6,5,4,4,5,3,5,3,4,5,4,5,4,6,3,5,3,5,5,5,3,4,3,6,3,3,5,4,3,4,5,4,5,4,3,4,5,3,4,4,3,3,5,5,4,4,3,5,6,4,3,3,4,4,5,4,5,5
R_00056,D002,3,4,5,6,4,4,5,3,3,3,5,5,3,5,3,6,4,4,5,5,3,4,6,5,5,5,4,5,6,3,4,4,3,6,5,4,4,6,3,4,5,3,4,5,5,4,4,6,6,5,4,6,6,4,3,4,5,5,4,5,5,5
R_00057,D015,3,5,4,4,5,6,5,6,4,5,4,3,4,4,4,5,4,5,5,3,5,5,4,3,3,5,3,5,3,3,3,5,5,4,5,3,5,3,5,5,5,5,4,3,5,5,3,5,5,4,6,6,4,4,3,3,4,5,5,5,5,5
R_00058,D009,4,5,5,6,4,3,5,3,3,4,4,4,4,3,5,4,4,5,3,3,4,3,6,5,5,4,4,4,5,4,3,3,3,4,4,4,3,3,3,4,4,3,5,4,6,5,6,3,5,4,5,5,5,6,5,4,6,6,4,4,4,5
R_00059,D012,5,4,3,5,3,4,5,3,5,4,2,3,4,5,5,4,3,4,4,5,5,4,5,5,3,4,3,3,3,5,4,4,3,3,4,4,4,2,4,4,4,4,5,4,4,3,5,3,5,3,3,5,4,4,4,4,4,3,4,5,4,5
R_00060,D003,5,5,5,4,6,4,4,3,3,4,4,6,4,5,5,4,4,5,4,3,3,5,3,3,5,5,5,5,6,4,4,4,3,3,5,4,4,3,5,3,5,5,4,4,5,4,4,4,4,4,4,3,3,3,5,4,5,3,5,5,4,4
R_00061,D005,3,4,5,5,3,4,3,5,3,3,3,4,3,4,4,4,5,4,4,6,4,5,4,3,5,5,3,4,4,4,4,5,5,5,4,3,4,4,3,5,5,5,5,4,4,3,4,3,4,3,3,5,4,4,4,3,5,4,5,4,5,5
R_00062,D005,3,5,4,5,5,4,4,5,4,4,5,4,4,4,4,3,3,3,4,3,3,4,5,3,3,5,5,4,4,3,3,5,3,3,4,3,4,3,4,3,3,3,5,4,4,3,5,5,3,3,4,6,5,3,5,4,5,5,3,5,3,5
R_00063,D006,4,3,4,3,3,5,4,4,3,3,4,4,3,5,4,3,4,3,4,5,5,5,4,4,4,3,4,3,5,5,4,4,5,5,5,3,3,4,3,5,3,5,4,3,5,5,4,3,2,4,5,3,4,3,4,3,5,4,4,3,4,5
R_00064,D006,4,4,4,4,4,4,5,5,5,5,5,4,5,3,3,4,4,4,5,5,3,6,3,3,3,6,4,3,3,3,3,4,6,5,4,5,5,6,5,5,4,3,5,5,4,3,5,4,3,3,3,4,3,3,6,5,4,4,5,4,5,3
R_00065,D001,5,5,3,5,3,4,3,5,4,3,4,3,3,3,5,5,5,5,5,4,4,5,4,5,5,5,4,4,4,2,3,2,4,5,4,3,3,5,4,2,5,3,3,4,5,3,5,4,3,5,3,5,4,5,4,3,4,5,3,3,3,4
R_00066,D003,5,4,4,4,4,4,2,4,4,4,5,5,5,4,5,5,3,3,4,2,5,4,4,4,3,4,3,5,4,3,4,2,3,4,3,4,3,4,3,4,4,3,4,3,4,3,5,3,3,3,4,3,2,3,3,3,3,3,5,3,5,3
R_00067,D007,6,5,5,5,4,5,5,4,5,3,5,4,5,4,4,4,5,6,4,3,3,6,6,4,5,5,4,5,4,5,4,5,6,4,4,5,3,3,5,4,5,5,6,3,3,4,4,4,4,5,4,4,6,4,5,6,4,4,3,5,5,6
R_00068,D010,3,2,2,5,4,2,3,4,2,3,3,4,5,3,3,3,4,2,5,2,4,5,3,4,5,4,3,3,5,4,3,4,4,4,4,4,4,3,3,4,4,3,3,3,3,2,5,5,3,3,2,5,5,4,2,3,3,3,2,3,3,4
R_00069,D006,4,3,3,3,3,3,4,5,5,4,3,4,5,3,5,3,3,4,4,3,4,3,2,2,4,3,2,3,4,4,3,3,4,3,3,5,5,4,5,3,5,5,2,4,2,4,3,5,5,5,3,4,3,4,3,4,2,4,4,4,5,4
R_00070,D009,3,4,2,5,4,3,4,3,5,5,3,3,4,3,3,3,3,5,2,2,5,4,4,3,3,3,3,4,5,5,4,2,4,4,5,3,3,5,5,5,5,4,3,4,3,3,5,4,4,3,4,3,3,3,5,3,5,5,4,3,3,3
R_00071,D005,2,4,4,3,2,5,5,3,5,4,4,4,4,4,4,4,3,4,3,4,3,5,3,5,3,4,3,4,5,4,4,4,3,3,4,3,5,3,4,5,3,5,3,4,5,4,3,4,5,3,2,3,3,5,5,3,5,4,3,4,3,4
R_00072,D004,4,3,5,4,4,5,5,3,3,4,4,3,6,4,4,4,6,4,4,5,4,5,5,4,3,5,6,4,6,4,4,5,6,5,4,6,4,4,3,5,3,5,5,4,4,4,6,3,3,4,3,4,4,3,5,3,4,6,5,5,5,3
R_00073,D012,4,5,4,4,5,4,3,3,5,4,5,4,5,5,3,5,4,3,5,4,4,3,4,3,4,3,3,5,4,4,4,4,3,4,4,3,3,4,3,4,3,4,5,3,3,4,4,5,3,5,5,3,3,5,4,5,3,5,4,4,4,4
R_00074,D001,5,4,5,4,3,2,5,3,3,5,5,3,2,5,5,5,5,2,4,3,4,2,3,4,3,4,3,4,4,3,4,2,4,4,2,3,3,5,4,2,4,2,3,3,5,4,5,2,5,4,3,3,5,3,3,5,4,3,4,4,5,2
R_00075,D005,4,4,3,4,4,4,3,5,4,5,4,5,5,5,3,4,3,3,5,5,3,4,5,4,4,3,3,3,5,5,4,4,3,3,4,5,5,3,5,4,3,6,5,3,5,5,3,4,5,3,3,5,5,5,5,4,4,4,5,5,5,3
R_00076,D012,3,4,4,3,4,3,3,4,3,4,4,4,4,4,3,5,4,3,3,2,4,2,3,3,4,5,4,2,5,5,5,4,3,3,3,3,2,4,3,3,4,4,4,4,5,4,4,3,5,2,5,4,3,4,4,4,4,2,3,3,3,5
R_00077,D007,4,3,4,3,5,4,5,3,5,5,5,3,4,4,3,4,5,3,4,3,4,5,5,5,3,3,4,4,4,4,5,4,5,4,4,5,5,4,4,3,5,3,5,4,3,5,4,4,3,3,3,4,3,4,5,4,2,5,3,4,4,4
R_00078,D001,3,4,4,4,5,3,3,5,3,5,5,5,3,5,3,4,3,5,4,5,4,5,3,4,4,5,3,3,4,4,3,4,4,3,3,5,3,4,4,5,4,3,5,4,6,4,5,5,6,3,4,4,4,6,4,3,4,4,4,4,3,4
R_00079,D011,3,3,5,3,6,5,6,4,4,5,5,3,4,4,5,4,4,4,3,5,4,5,5,3,4,4,4,5,6,5,5,4,5,6,5,4,5,4,5,5,4,5,4,5,4,5,5,6,4,6,4,3,6,5,6,5,4,5,6,5,5,4
R_00080,D001,4,3,4,5,3,3,3,5,5,5,4,2,4,4,3,5,5,4,5,3,5,5,5,4,3,5,4,5,4,2,5,4,4,3,4,3,4,4,3,4,3,5,3,3,3,3,4,3,3,3,2,4,4,3,3,3,3,5,3,3,3,4
R_00081,D006,3,4,4,3,3,4,3,4,4,5,5,4,3,5,5,4,4,5,5,4,3,5,5,4,4,4,5,4,3,3,5,4,5,4,5,4,5,5,4,3,4,3,4,3,5,4,3,3,5,5,3,4,5,4,4,4,4,4,5,4,3,5
R_00082,D008,4,5,4,3,5,3,6,5,4,5,4,4,5,3,6,3,3,5,5,4,4,5,3,5,5,5,5,3,3,3,4,4,5,3,5,4,4,6,4,6,4,6,4,3,3,6,4,3,4,4,4,3,5,5,4,5,5,3,5,4,4,4
R_00083,D006,5,4,3,4,5,5,3,6,5,3,3,3,5,4,4,6,3,4,4,4,5,4,4,3,4,4,4,4,3,4,4,5,3,4,4,4,4,5,4,5,3,4,5,3,5,5,5,5,4,3,5,3,4,5,5,3,4,5,3,3,4,5
R_00084,D007,4,5,4,5,5,3,3,5,5,5,4,3,4,3,3,5,5,4,3,3,4,5,3,3,3,5,3,3,3,4,3,4,5,3,5,4,5,5,4,3,3,5,3,4,5,5,3,4,4,3,5,4,4,5,3,3,4,3,5,5,4,4
R_00085,D011,3,5,3,5,4,5,5,5,3,5,4,5,4,5,5,3,3,3,4,4,5,5,5,4,3,3,5,3,4,4,5,3,3,3,4,3,3,3,3,3,5,4,5,5,4,5,3,5,3,4,5,4,5,5,5,3,4,5,4,5,3,4
R_00086,D015,4,3,3,5,4,4,3,6,4,4,4,6,5,3,4,3,5,3,5,6,5,3,3,4,4,4,5,3,5,6,5,4,5,5,4,4,6,4,4,5,5,5,4,3,6,5,4,4,6,4,5,4,5,6,3,4,6,3,4,5,5,3
R_00087,D001,3,4,5,4,3,3,4,5,3,3,5,4,4,3,4,3,4,5,4,5,2,3,5,3,3,5,4,4,4,5,3,4,5,2,3,4,4,5,3,4,3,3,3,3,5,4,3,4,5,3,4,5,3,5,4,5,5,4,3,5,4,3
R_00088,D013,5,5,4,3,3,4,5,4,4,6,3,3,5,5,5,3,4,3,3,3,5,5,4,5,5,5,3,5,4,4,6,5,3,3,4,6,5,5,4,3,4,3,4,3,4,5,4,3,5,5,4,3,5,5,6,4,3,5,3,5,4,4
R_00089,D005,5,3,5,6,3,5,4,3,5,5,5,4,3,5,4,5,4,3,5,5,4,3,4,4,5,3,6,4,4,3,5,5,6,3,3,5,3,3,5,4,3,4,5,5,5,5,5,3,6,5,3,5,4,6,5,5,4,5,5,4,4,5
R_00090,D014,3,4,3,6,3,4,5,3,4,4,5,5,4,3,4,3,5,5,3,3,5,3,4,4,5,5,5,3,4,5,5,4,5,4,4,4,5,3,5,4,3,4,3,5,4,5,5,3,5,5,3,5,5,5,3,4,4,4,3,4,3,5
R_00091,D004,4,3,4,6,5,6,4,5,4,4,4,5,4,3,4,4,5,3,5,5,5,4,5,5,6,5,6,3,6,4,3,6,4,6,3,4,5,4,6,5,5,4,6,5,3,4,4,5,4,3,6,4,6,5,4,4,5,4,5,5,6,4
R_00092,D005,4,3,3,4,5,4,2,3,3,3,5,4,3,5,5,4,4,3,3,2,3,3,3,3,4,2,3,3,3,4,3,3,5,3,4,3,4,3,2,4,5,3,4,4,3,5,5,4,3,4,5,3,4,4,5,3,4,3,3,5,3,2
R_00093,D001,4,3,5,3,3,4,4,5,3,4,3,4,4,5,5,4,3,5,4,4,3,4,6,5,3,5,4,6,5,4,5,6,4,5,3,4,3,3,4,5,6,3,6,5,3,4,5,4,4,5,5,3,3,4,4,3,5,5,4,4,4,3
R_00094,D001,5,5,4,4,5,4,4,4,3,3,3,5,2,4,4,4,5,4,4,4,3,4,4,5,3,2,3,5,3,3,3,4,5,3,3,4,5,4,5,3,3,5,4,5,5,4,3,4,4,3,4,5,2,4,3,4,3,5,3,3,3,3
R_00095,D015,5,4,4,4,5,3,4,3,5,5,4,4,4,5,5,4,5,4,5,3,5,3,5,3,3,3,3,3,5,5,3,5,5,3,3,5,4,3,3,3,3,5,5,5,5,3,5,3,4,3,5,5,5,4,3,4,5,3,4,3,4,3
R_00096,D004,3,5,4,5,2,3,4,4,3,4,4,5,3,3,3,3,3,3,5,3,3,3,4,4,4,2,3,3,3,4,3,5,4,4,3,5,3,2,5,4,4,3,5,4,3,4,4,2,3,3,4,2,5,5,2,5,3,4,5,3,5,4
R_00097,D005,4,4,5,5,4,4,5,4,4,4,5,3,3,4,5,3,3,3,3,5,6,4,5,3,5,3,3,5,5,5,3,5,4,3,4,5,4,6,3,4,5,4,4,4,4,3,4,5,4,5,4,3,5,4,3,5,5,5,4,4,5,4
R_00098,D006,5,4,4,5,3,3,3,5,4,5,3,5,4,3,4,4,4,4,3,4,4,5,3,3,4,3,3,4,5,4,5,3,5,4,5,4,4,4,5,3,5,4,4,5,4,4,4,4,4,5,5,5,4,3,3,5,4,3,5,3,5,3
R_00099,D005,4,3,3,4,4,3,4,3,4,3,3,4,3,4,3,2,4,5,4,3,5,4,3,5,4,4,4,3,4,4,4,3,3,3,4,3,3,3,5,2,3,3,5,4,3,4,3,2,3,3,5,3,4,3,4,2,3,2,3,4,4,3
